Place or organization,Province/territory,Region,Corporation,Reporting level,Indicator,Time scale,Time frame,Level 1 breakdown,Level 1 breakdown value,Level 2 breakdown,Level 2 breakdown value,Level 3 breakdown,Level 3 breakdown value,Risk-adjusted rate,Unit of measure,Confidence interval lower limit,Confidence interval upper limit,Numerator,Statistically different,Performance comparison,Performance trend,Top results,Denominator,Expected,Urban or rural/remote,Hospital peer group,Long-Term Care Facility Size,Trend note,Refresh date
Hanover and District Hospital (Ont.),Ontario,West Region (Ont.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.5,per 100,7.48,11.88,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Health Sciences Centre Winnipeg (Man.),Manitoba,Shared Health Inc. (Man.),Health Sciences Centre Winnipeg (Man.),Corporation,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.5,per 100,9.06,9.96,-,Yes,,,,-,-,Not applicable,Teaching,Not applicable,-,"October 14, 2025"
Health Sciences Centre-St. John’s (N.L.),Newfoundland and Labrador,Eastern–Urban Zone (N.L.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.5,per 100,9.00,10.12,-,No,,,,-,-,Urban,Teaching,Not applicable,-,"October 14, 2025"
Health Sciences North Corporation / Association Horizon Santé-Nord (Ont.),Ontario,North East Region (Ont.),Health Sciences North Corporation / Association Horizon Santé-Nord (Ont.),Corporation,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.5,per 100,9.03,10.03,-,No,,,,-,-,Not applicable,Teaching,Not applicable,-,"October 14, 2025"
Health Sciences North Corporation / Association Horizon Santé-Nord (Ont.),Ontario,North East Region (Ont.),Health Sciences North Corporation / Association Horizon Santé-Nord (Ont.),Corporation,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.5,per 100,9.05,10.04,-,No,,,,-,-,Not applicable,Teaching,Not applicable,-,"October 14, 2025"
Humber River Health (Ont.),Ontario,Toronto Region (Ont.),Humber River Health (Ont.),Corporation,All Patients Readmitted to Hospital,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.5,per 100,9.10,9.94,-,Yes,,,,-,-,Not applicable,Community—Large,Not applicable,-,"October 14, 2025"
Interior Health (B.C.),British Columbia,Interior Health (B.C.),-,Health region,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.5,per 100,9.29,9.79,-,Yes,,,,-,-,Not applicable,-,Not applicable,-,"October 14, 2025"
Kings County Memorial Hospital (P.E.I.),Prince Edward Island,Health PEI (P.E.I.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.5,per 100,6.89,12.82,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Kingston Health Sciences Centre (Ont.),Ontario,East Region (Ont.),Kingston Health Sciences Centre (Ont.),Corporation,All Patients Readmitted to Hospital,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.5,per 100,9.05,9.95,-,No,Same as average performance,No change,Not a top result,-,"1,732.0",Not applicable,Teaching,Not applicable,-,"October 14, 2025"
La Loche Health Centre (Sask.),Saskatchewan,Far North Zone (Sask.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.5,per 100,5.43,15.44,-,No,Same as average performance,No change,Not a top result,-,15.9,Rural/remote,Community—Small,Small,-,"October 14, 2025"
Labrador Health Centre (N.L.),Newfoundland and Labrador,Labrador–Grenfell Zone (N.L.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.5,per 100,7.57,11.73,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Labrador West Health Centre (N.L.),Newfoundland and Labrador,Labrador–Grenfell Zone (N.L.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.5,per 100,6.51,13.29,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Lillian Fraser Memorial Hospital (N.S.),Nova Scotia,Northern Zone (N.S.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.5,per 100,5.63,15.02,-,No,Same as average performance,No change,Not a top result,-,17.9,Urban,Community—Small,Not applicable,-,"October 14, 2025"
Lillooet Hospital and Health Centre (B.C.),British Columbia,Interior Health (B.C.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.5,per 100,5.90,14.57,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Myron Thompson Health Centre (Alta.),Alberta,Central Zone (Alta.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.5,per 100,6.76,13.10,-,No,Same as average performance,No change,Not a top result,-,37.6,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Neepawa Health Centre (Man.),Manitoba,Prairie Mountain Health Region (Man.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.5,per 100,7.05,12.60,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
North of Superior Healthcare Group (Ont.),Ontario,North West Region (Ont.),North of Superior Healthcare Group (Ont.),Corporation,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.5,per 100,7.13,12.32,-,No,,,,-,-,Not applicable,Community—Small,Not applicable,-,"October 14, 2025"
North Zone (Alta.),Alberta,North Zone (Alta.),-,Health region,All Patients Readmitted to Hospital,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.5,per 100,9.09,9.93,-,No,Same as average performance,No change,Not a top result,-,"1,953.1",Not applicable,-,Not applicable,-,"October 14, 2025"
Notre Dame Bay Memorial Health Centre (N.L.),Newfoundland and Labrador,Central Zone (N.L.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.5,per 100,6.43,13.43,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Notre Dame Hospital (Man.),Manitoba,Southern Health Region (Man.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.5,per 100,4.08,18.65,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Outlook and District Health Centre (Sask.),Saskatchewan,South West Zone (Sask.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.5,per 100,5.19,15.96,-,No,Same as average performance,No change,Not a top result,-,13.9,Rural/remote,Community—Small,Medium,-,"October 14, 2025"
Pasqua Hospital (Sask.),Saskatchewan,Regina Zone (Sask.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.5,per 100,8.92,10.12,-,No,Same as average performance,No change,Not a top result,-,978.7,Urban,Teaching,Not applicable,-,"October 14, 2025"
Queen Victoria Hospital (B.C.),British Columbia,Interior Health (B.C.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.5,per 100,6.22,13.96,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Quinte Health (Ont.),Ontario,East Region (Ont.),Quinte Health (Ont.),Corporation,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.5,per 100,8.87,10.22,-,No,,,,-,-,Not applicable,Community—Large,Not applicable,-,"October 14, 2025"
Red Lake Margaret Cochenour Memorial Hospital (Ont.),Ontario,North West Region (Ont.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.5,per 100,5.87,14.50,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Ridge Meadows Hospital and Health Care Centre (B.C.),British Columbia,Fraser Health (B.C.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.5,per 100,8.69,10.46,-,No,,,,-,-,Urban,Community—Medium,Not applicable,-,"October 14, 2025"
Rivers Health Centre (Man.),Manitoba,Prairie Mountain Health Region (Man.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.5,per 100,4.10,18.78,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Riverside Health Care Facilities Inc. (Ont.),Ontario,North West Region (Ont.),Riverside Health Care Facilities Inc. (Ont.),Corporation,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.5,per 100,7.84,11.47,-,No,,,,-,-,Not applicable,Community—Small,Not applicable,-,"October 14, 2025"
Riverside Health Care Facilities Inc. (Ont.),Ontario,North West Region (Ont.),Riverside Health Care Facilities Inc. (Ont.),Corporation,All Patients Readmitted to Hospital,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.5,per 100,7.84,11.36,-,No,,,,-,-,Not applicable,Community—Small,Not applicable,-,"October 14, 2025"
Royal Jubilee Hospital (B.C.),British Columbia,Island Health (B.C.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.5,per 100,9.06,10.02,-,No,,,,-,-,Urban,Teaching,Not applicable,-,"October 14, 2025"
Saanich Peninsula Hospital (B.C.),British Columbia,Island Health (B.C.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.5,per 100,8.26,10.89,-,No,Same as average performance,No change,Not a top result,-,206.5,Urban,Community—Medium,Large,-,"October 14, 2025"
Shared Health Inc. (Man.),Manitoba,Shared Health Inc. (Man.),-,Health region,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.5,per 100,9.06,9.96,-,Yes,,,,-,-,Not applicable,-,Not applicable,"Diagnostic Services Manitoba (Man.) has reopened as Shared Health Inc. (Man.) as of April 03, 2018.","October 14, 2025"
Shuswap Lake General Hospital (B.C.),British Columbia,Interior Health (B.C.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.5,per 100,8.26,10.79,-,No,,,,-,-,Urban,Community—Medium,Not applicable,-,"October 14, 2025"
Sir Thomas Roddick Hospital (N.L.),Newfoundland and Labrador,Western Zone (N.L.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.5,per 100,7.66,11.72,-,No,,,,-,-,Rural/remote,Community—Medium,Not applicable,-,"October 14, 2025"
Slave Lake Healthcare Centre (Alta.),Alberta,North Zone (Alta.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.5,per 100,6.72,13.03,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
South East Zone (Sask.),Saskatchewan,South East Zone (Sask.),-,Health region,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.5,per 100,8.90,10.15,-,No,,,,-,-,Not applicable,-,Not applicable,-,"October 14, 2025"
South West Zone (Sask.),Saskatchewan,South West Zone (Sask.),-,Health region,All Patients Readmitted to Hospital,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.5,per 100,8.78,10.20,-,No,Same as average performance,No change,Not a top result,-,692.8,Not applicable,-,Not applicable,-,"October 14, 2025"
Southeast Integrated Care Centre - Moosomin (Sask.),Saskatchewan,South East Zone (Sask.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.5,per 100,7.44,12.02,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Southlake Regional Health Centre (Ont.),Ontario,Central Region (Ont.),Southlake Regional Health Centre (Ont.),Corporation,All Patients Readmitted to Hospital,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.5,per 100,9.10,9.98,-,Yes,,,,-,-,Not applicable,Community—Large,Not applicable,-,"October 14, 2025"
St. Joseph’s Healthcare Hamilton (Ont.),Ontario,West Region (Ont.),St. Joseph’s Healthcare Hamilton (Ont.),Corporation,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.5,per 100,8.98,9.96,-,No,,,,-,-,Not applicable,Teaching,Not applicable,-,"October 14, 2025"
St. Mary’s General Hospital Corporation (Ont.),Ontario,West Region (Ont.),St. Mary’s General Hospital Corporation (Ont.),Corporation,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.5,per 100,8.88,10.14,-,Yes,,,,-,-,Not applicable,Community—Large,Not applicable,-,"October 14, 2025"
Ste. Anne Hospital (Man.),Manitoba,Southern Health Region (Man.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.5,per 100,6.53,13.33,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Stollery Children’s Hospital (Alta.),Alberta,Edmonton Zone (Alta.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.5,per 100,8.70,10.27,-,No,,,,-,-,Urban,Teaching,Not applicable,-,"October 14, 2025"
Surrey Memorial Hospital (B.C.),British Columbia,Fraser Health (B.C.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.5,per 100,9.12,9.90,-,Yes,,,,-,-,Urban,Teaching,Not applicable,-,"October 14, 2025"
The North Island Hospital Campbell River and District Campus (B.C.),British Columbia,Island Health (B.C.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.5,per 100,8.53,10.44,-,No,,,,-,-,Urban,Community—Medium,Not applicable,-,"October 14, 2025"
